UF;Cidade;PIB;População (2009);PIB percapita
BAHIA;Tremedal;57883.99;18433;3140.24
RIO GRANDE DO SUL;Turuçu;45723875.00;4000;11430.97
ESPIRITO SANTO;Vitória;19782628.00;320156;61790.59
MINAS GERAIS;Jacutinga;247816.00;21424;11567.21
PIAUÍ;Nazária;20951.38;7895;2653.75
MINAS GERAIS;Pedra Azul;187523.67;26000;7212.45
PIAUÍ;Teresina;8700461.00;802537;10841.20
PIAUÍ;Amarante;65322.89;17892;3650.95
GOIÁS;Matrinchã;45910.55;4420;10387.00
PERNAMBUCO;Cachoeirinha;80433.80;18123;4438.22
PARÁ;Afuá;100038.41;32633;3065.56
PERNAMBUCO;Fernando de Noronha;26980.71;3108;8681.05
RIO GRANDE DO SUL;Frederico Westphalen;490769.53;28428;17263.60
SERGIPE;Amparo de São Francisco;12769.73;2268;5630.39
SÃO PAULO;Itapeva;1120700.00;89768;12484.40
PARAÍBA;Bayeux;604882125.00;96198;6287.89
TOCANTINS;Ananás;59541.41;9514;6258.29
MINAS GERAIS;Santo Antônio do Retiro;25568.89;7087;3607.86
PARAÍBA;Serra Branca;62123.34;12816;4847.33
AMAZONAS;Envira;69843.03;17614;3965.20
TOCANTINS;Oliveira de Fátima;11591.95;1129;10267.45
SÃO PAULO;Elisiário;52295.23;3317;15765.82
SANTA CATARINA;Otacílio Costa;364577.81;16587;21979.73
MINAS GERAIS;Sericita;39047.07;7345;5316.14
MINAS GERAIS;Diamantina;287632.03;46372;6202.71
BAHIA;Maetinga;23558.45;7884;2988.13
CEARÁ;Iracema;62552.02;15114;4138.68
RORAIMA;São João da Baliza;59372.45;6028;9849.45
RIO GRANDE DO SUL;Paulo Bento;37882.77;2149;17628.09
PERNAMBUCO;Alagoinha;57886.21;14913;3881.59
PIAUÍ;Inhuma;62012.02;15490;4003.36
MARANHÃO;Joselândia;60842.48;16188;3758.49
RIO DE JANEIRO;Itaguaí;3008327.25;105633;28479.05
MINAS GERAIS;Cedro do Abaeté;10221.86;1221;8371.71
RIO GRANDE DO SUL;Cacequi;174171.70;13578;12827.49
PERNAMBUCO;Barra de Guabiraba;46595.87;13623;3420.38
BAHIA;Ibirapuã;74997.41;7893;9501.76
PARAÍBA;Bernardino Batista;11964.66;3315;3609.25
PARAÍBA;Lagoa;19203.71;4949;3880.32
MATO GROSSO;Novo Horizonte do Norte;32778.51;3970;8256.55
MINAS GERAIS;Nova Lima;2120726.75;76608;27682.84
PARÁ;Tomé-Açu;226379.47;48607;4657.34
BAHIA;Governador Mangabeira;92903.82;20668;4495.06
PIAUÍ;Aroeiras do Itaim;8614.80;2759;3122.43
GOIÁS;Perolândia;145665.39;2830;51471.87
PARAÍBA;Pocinhos;68767.05;16538;4158.12
BAHIA;Ibititá;62366.89;19410;3213.13
TOCANTINS;Aliança do Tocantins;44565.70;5822;7654.71
MINAS GERAIS;Igarapé;277495.78;33773;8216.50
TOCANTINS;Lagoa da Confusão;263527.44;8711;30252.26
PARAÍBA;Puxinanã;59902.49;13354;4485.73
SÃO PAULO;Guarujá;3429098.50;308058;11131.34
RIO GRANDE DO SUL;Engenho Velho;24098.89;1467;16427.33
PARANÁ;Rio Bom;29087.90;3292;8835.93
BAHIA;Sátiro Dias;75908.46;18919;4012.29
SANTA CATARINA;José Boiteux;50867.90;5054;10064.88
PARÁ;Cachoeira do Arari;62800.13;20411;3076.78
BAHIA;Irajuba;29224.99;7666;3812.29
PERNAMBUCO;Palmares;387086.59;58819;6580.98
SERGIPE;Brejo Grande;39924.38;8086;4937.47
PARANÁ;Altamira do Paraná;37563.43;3799;9887.72
MATO GROSSO;Nova Santa Helena;49004.00;3473;14109.99
PARAÍBA;São Sebastião do Umbuzeiro;15186.45;3170;4790.68
MATO GROSSO;Nova Guarita;45700.82;4907;9313.39
MARANHÃO;Serrano do Maranhão;40995.57;11085;3698.29
SÃO PAULO;Pedrinhas Paulista;75881.69;2927;25924.73
GOIÁS;Santa Rita do Novo Destino;29350.61;3576;8207.67
PARAÍBA;Cabedelo;2332828.25;51865;44978.85
PERNAMBUCO;Cabrobó;188859.31;30432;6205.95
ALAGOAS;Dois Riachos;35078.25;11200;3131.99
MATO GROSSO DO SUL;Corumbá;2715506.75;99467;27300.58
MINAS GERAIS;Santa Maria do Suaçuí;71374.39;14931;4780.28
MATO GROSSO;Tapurah;321427.22;11517;27908.94
PARÁ;Bragança;382807.56;107060;3575.64
RIO DE JANEIRO;Três Rios;1304643375.00;76075;17149.44
ALAGOAS;Belém;19550.02;5083;3846.16
CEARÁ;Abaiara;33615.54;11077;3034.72
BAHIA;Itaquara;33105.70;7743;4275.57
MARANHÃO;Santa Luzia;243949.92;71455;3414.04
PARAÍBA;Patos;615180875.00;100732;6107.10
SÃO PAULO;São Luís do Paraitinga;82827.17;10908;7593.25
SANTA CATARINA;Cordilheira Alta;128883.09;3531;36500.45
MINAS GERAIS;Catas Altas da Noruega;14633.56;3573;4095.59
ACRE;Marechal Thaumaturgo;109181.87;14275;7648.47
PARAÍBA;Riachão do Bacamarte;17855.67;4319;4134.21
MARANHÃO;Senador Alexandre Costa;31518.80;9414;3348.08
MARANHÃO;São Raimundo do Doca Bezerra;19792.51;4372;4527.11
PARANÁ;Diamante do Norte;39603.35;5668;6987.18
PARÁ;Breu Branco;282525.69;52200;5412.37
PERNAMBUCO;Angelim;41266.19;10385;3973.63
RIO GRANDE DO SUL;Arvorezinha;120895.88;10548;11461.50
MARANHÃO;Presidente Médici;26121.26;6363;4105.18
RIO GRANDE DO SUL;Palmeira das Missões;597852.75;34225;17468.30
SÃO PAULO;Divinolândia;158577.42;11343;13980.20
BAHIA;Cansanção;112228.77;34093;3291.84
SERGIPE;Tomar do Geru;62506.46;13717;4556.86
PARANÁ;Santa Lúcia;34974.37;3743;9343.94
RIO GRANDE DO NORTE;Rafael Godeiro;14798.20;3251;4551.89
